id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384,Hyde Park - Walk to University of Chicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,125,3,250,2024-10-14,2.02,1,343,16,R17000015609
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,81,2,569,2025-02-09,2.98,1,275,53,R24000114046
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,187,4,117,2025-01-02,0.88,6,260,34,2209984
28749,Quirky Bucktown Loft w/ Parking No Parties,27506,Lauri,,Logan Square,41.91955,-87.70069,Entire home/apt,196,2,244,2025-03-09,1.40,1,55,47,R24000113825
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,76,3,129,2024-11-26,0.77,1,0,19,R23000108832
94450,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,109,3,32,2024-10-14,0.99,1,184,10,R22000082956
145659,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,230,32,77,2024-05-05,0.67,23,359,1,2209272
145690,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,240,32,87,2024-12-02,0.73,23,356,1,2083778
189821,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,208,3,688,2025-02-17,4.19,1,196,42,R23000108826
207218,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,167,32,320,2025-02-01,1.94,3,364,2,R21000073121
207351,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,73,32,48,2024-08-25,0.29,3,0,2,R21000073121
220333,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,167,32,6,2024-07-03,0.04,3,365,2,
225314,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,86,2,30,2024-08-03,0.20,1,159,4,R20000054219
233933,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95758,-87.7271,Private room,57,2,201,2024-12-29,1.23,2,79,33,R22000094076
250354,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,,180,35,2018-01-15,0.22,1,358,0,City registration pending
264547,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,272,32,63,2021-10-17,0.40,1,362,0,City registration pending
289689,"28 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,39,32,71,2024-12-04,0.44,1,203,3,R21000062931
345075,"Spacious, Vintage Hyde Park Apt.3",1746524,Patricia,,Kenwood,41.80774,-87.59459,Private room,115,2,295,2024-10-27,1.87,1,2,12,R22000076583
350347,2bd/2bath Urban Loft w/ 2 pkg spots 1 blk to train,845242,Jay,,Lake View,41.94107,-87.65492,Entire home/apt,181,3,786,2025-03-02,4.95,1,214,53,R22000081479
372929,Lux Urban 3BR/3BA Duplex + Parking!,1876597,Hans,,West Town,41.89629,-87.65704,Entire home/apt,284,2,311,2025-01-26,2.07,2,309,22,2510875
404792,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,130,21,225,2024-11-03,1.46,1,25,7,R23000098892
464581,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,67,32,649,2025-01-29,4.25,1,92,4,R17000017731
507517,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,112,2,432,2025-02-17,2.80,1,118,32,R23000111667
542067,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,145,3,305,2024-08-18,1.97,1,0,2,R24000119110
584590,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,37,32,56,2025-01-11,0.37,2,90,4,R17000015627
634310,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,64,3,142,2024-11-02,0.93,2,332,22,R22000091618
640841,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,238,4,101,2024-12-30,1.23,1,0,10,R23000104039
651742,Edgebrook Lg bdr by golf course,2824576,Jeff,,Forest Glen,41.99178,-87.75747,Private room,82,2,119,2024-10-16,0.81,2,2,16,R24000114190
662034,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,73,2,99,2024-10-14,0.70,2,359,8,R23000095494
