id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Fully Furnished Cozy Apartment,72880,John,,Leonidas,29.961,-90.1195,Entire home/apt,61,30,503,2023-11-06,2.78,1,329,0,"22-RSTR-14107, 22-OSTR-14105"
71624,Ravenwood Manor (Historic Bywater),367223,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,167,30,313,2025-02-02,1.83,1,342,15,"21-RSTR-18609, 22-OSTR-20720"
74498,Maison Marais 1,391462,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,150,3,649,2025-02-23,3.82,3,208,35,23-XSTR-13082
79536,FeelAtHomeInNewOrleans-PrivateApt,428362,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,179,3,768,2025-03-01,4.56,1,0,59,"23-NSTR-15067, 24-OSTR-20882"
79609,Bywater's Original & Finest,428909,Stephen,,St. Claude,29.96448,-90.03667,Entire home/apt,136,30,505,2024-11-14,2.97,1,341,13,"23-ISTR-02823, 23-OSTR-02823"
80869,"Frenchmen House ""Red Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,93,1,967,2025-02-12,5.69,2,110,44,24-XSTR-08500
84725,Historic UPTOWN NEW ORLEANS Resort,85132,Sanford Sandy,,Central City,29.93608,-90.07997,Private room,317,30,5,2016-01-01,0.03,8,365,0,Exempt
90806,Mid-city.  The heart of New Orleans,485705,Thomas J,,Mid-City,29.97264,-90.09992,Entire home/apt,68,30,143,2024-04-09,0.87,1,356,1,
183207,"Frenchmen House ""Rose Room""",437783,Joanne,,Marigny,29.96811,-90.05905,Private room,93,1,903,2025-02-11,5.52,2,117,38,24-XSTR-08500
184478,Northside Bayou Quarters,884946,DJoseph,,Fillmore,30.01387,-90.08049,Private room,,30,2,2020-02-26,0.03,1,0,0,"19str-24335, 19-OSTR-1234"
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,96,30,207,2022-09-05,1.27,5,179,0,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,146,30,290,2022-11-01,1.78,5,162,0,"19STR-26373, 19-OSTR-2637"
228560,Boheme de Marigny - Historic Creole Cottage,1192986,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,328,2,129,2025-02-10,1.10,3,66,10,23-XSTR-12077
240258,Maison Marais 2,391462,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,189,3,609,2025-02-03,3.75,3,222,29,23-XSTR-13082
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,1363780,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,249,3,146,2025-02-10,0.91,3,261,4,"23-CSTR-21331, 24-OSTR-04001"
314233,Historic pied-à-terre on Esplanade,1182408,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,131,30,80,2020-03-18,0.50,1,364,0,
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",1631225,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,161,30,13,2023-03-13,0.08,1,351,0,
345394,Stylish Home Walking Distance to French Quarter,1751871,Betsey,,Bywater,29.96376,-90.04536,Entire home/apt,255,3,573,2024-07-08,3.63,1,50,14,"23-NSTR-13959, 23-OSTR-13665"
373034,Little Gem,1695097,Connie,,Marigny,29.96739,-90.05899,Entire home/apt,,30,428,2024-10-30,2.71,1,0,7,"22-RSTR-13055, 22-OSTR-13054"
405209,Historic Tremé Creole Cottage 3 bed/3 bath (A),2019341,Historic Getaways,,Treme - Lafitte,29.965829849243164,-90.06376647949219,Entire home/apt,339,1,183,2025-02-23,1.50,31,305,14,23-XSTR-11592
406652,Near bustling Magazine St w/BIKES!,2026099,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,151,30,182,2024-10-26,1.17,1,236,3,"23STR-08837, 23-OSTR-08837"
425878,"Walk to JAZZ FEST! 
 Bayou St. John Cottage!",1919429,Kristin,,Bayou St. John,29.975841522216797,-90.0870361328125,Entire home/apt,168,4,51,2024-11-10,0.38,1,329,6,"24-NSTR-10576, 24-OSTR-10576"
427928,Near SuperDome & French Quarter Great Group House!,2103275,NOLA Festivals,,Fairgrounds,29.98149,-90.07425,Entire home/apt,226,2,146,2020-02-24,0.99,1,262,0,Exempt
441125,Uptown home w/room to spread out!,2191889,Chris,,Audubon,29.93357,-90.11427,Entire home/apt,644,30,34,2020-03-16,0.22,2,210,0,19STR-83914
446478,"30 day minimum, long term rental only",2216025,Gregory,,French Quarter,29.96254,-90.06653,Entire home/apt,150,30,224,2017-06-11,1.48,1,364,0,
458029,Oak Street Hangout...,2277128,Bonny And Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,131,30,93,2024-11-01,0.61,1,303,5,
